parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
k,"[""cappa undicesima lettera dell'alfabeto latino e italiano il cui nome è cappa o kappa, anticamente ca o ka e rappresenta il suono della c occlusiva velare sorda k minuscola | K maiuscola; raro al maschile"", ""Si usa unicamente in vocaboli d'origine greca koiné e in parole e locuzioni straniere non adattate entrate nell'uso corrente go kart | killer | kapok | karate | poker | Kaiser, in vocaboli derivati da nomi propri stranieri kantiano | kennediano"", 'nel linguaggio politico è usata in sostituzione della c velare spregiativamente per indicare un senso militarista e autoritario kaccia | kapitalismo | Amerika | amerikano | maskilista oppure positivamente per indicare ferma determinazione skuola okkupata', 'nel linguaggio giovanile degli SMS, spesso sostituisce il digramma ch', 'nel linguaggio della pubblicità ha spesso senso positivo Bankitalia', 'nel codice alfabetico internazionale viene identificata dalla parola kilo', 'nella compitazione telefonica è identificata dalla parola kursaal o dal suo stesso nome kappa', ""specialmente maiuscola, in funzione di numerale, indica l'undicesimo elemento di una serie ordinata alfabeticamente"", '(maiuscola) indica un nome proprio di persona che inizia con la lettera K K. Marx', ""LINGUISTICA  --  (minuscola) nell'Alfabeto Fonetico Internazionale indica l'occlusiva velare sorda |k|"", ""METROLOGIA  --  (minuscola) premesso al simbolo di un'unità di misura ne moltiplica il valore per mille, e corrisponde al prefisso chilo- o kilo- km | kg | kHz | kW"", 'SCIENZA  --  (minuscola) indica una costante', ""FILOLOGIA  --  (minuscola) secondo un uso che risale ai filologi alessandrini indica il libro X dell'Odissea"", 'CHIMICA  --  (maiuscola) simbolo del potassio', 'FISICA  --  (maiuscola) simbolo del kelvin, anche nella forma °K', 'SCIENZA  --  (maiuscola) indica una costante', 'FISICA  --  (maiuscola) simbolo della banda di frequenza delle microonde', 'FISICA  --  (maiuscola) simbolo del campo elettrico', ""ASTRONOMIA  --  (maiuscola) simbolo della classe spettrale di stelle giallo-rossastre e a temperatura relativamente bassa dette anche del tipo delle macchie solari per l'analogia del loro spettro con quello delle macchie solari"", 'BOTANICA  --  (maiuscola) nelle formule fiorali, simbolo del petalo', 'INFORMATICA  --  (maiuscola) indica il fattore moltiplicativo pari a 210 (cioè 1.024) e da sola, non seguita da nessun simbolo di unità, indica il kilobyte (1.024 byte)', 'GIOCHI  --  (maiuscola) nella carte da gioco francesi è il simbolo del re', ""MUSICA  --  (maiuscola) nell'indicazione delle opere indica le opere di Wolfgang Amadeus Mozart, dal cognome di Ludwig von Köchel che le classificò nel 1862"", ""FILOLOGIA  --  (maiuscola) secondo un uso che risale ai filologi alessandrini indica il libro X dell'Iliade"", '(maiuscola) sigla, nelle targhe automobilistiche e negli usi burocratici, Cambogia']",['k'],k, /ˈkappa/,"['sostantivo maschile e femminile', 'abbreviazione', 'simbolo', 'simbolo', 'sigla']","['fattore K', 'vitamina K']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=k100
k-way,"['nome commerciale di un tipo di giacca a vento leggera e impermeabile con cappuccio, dotata di una grande tasca sul davanti, nella quale la si può ripiegare per portarla allacciata in vita quando non serve']",['k-way'],k–way," /,kejˈwej/, /kiˈwej/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=k-way100
kabuki,"[""TEATRO VOCE GIAPPONESE  --   genere teatrale giapponese nel quale l'azione scenica è accompagnata da musica, mimo, danza e recitativo; anche in funzione appositiva il teatro kabuki""]","['ka', 'bu', 'ki']",kabuki, /kaˈbuki/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kabuki100
kabulista,"['POLITICA  --  comunista intransigente, ortodosso e ostile a ogni rinnovamento']","['ka', 'bu', 'li', 'sta']",kabulìsta, /kabuˈlista/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kabulista100
kafkiano,"['LETTERATURA  --  che concerne lo scrittore F. Kafka', 'allucinante, angoscioso, assurdo', 'LETTERATURA  --  relativo allo scrittore boemo Franz Kafka e alle sue opere', ""PER ESTENSIONE  --  che ricorda l'atmosfera angosciosa e allucinante propria delle opere dello scrittore boemo Franz Kafka"", 'FIGURATO  --  assurdo, inquietante, cervellotico situazione kafkiana']","['kaf', 'kia', 'no']",kafkiàno, /kafˈkjano/,"['aggettivo', 'aggettivo e sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kafkiano100
kainite,"[""MINERALOGIA  --  minerale raro costituito da solfato di potassio e magnesio, che cristallizza nel sistema monoclino, utilizzato nell'industria dei sali potassici fertilizzanti""]","['ka', 'i', 'ni', 'te']",kainìte, /kaiˈnite/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kainite100
kaiser,"[""VOCE TEDESCA  --  (maiuscola) nei paesi di lingua tedesca, titolo dell'imperatore"", ""FAMILIARE VOCE TEDESCA  --   (minuscola) eufemismo per cazzo, con intenzione denigratoria nei confronti dell'imperatore tedesco, in frasi per lo più negative, niente, nulla non me ne importa un kaiser! | non capisci un kaiser! | questa roba non vale un kaiser! | le tue sono ragioni del kaiser! | raccontala al kaiser!"", 'AGRICOLTURA VOCE TEDESCA  --   si varietà di pera di forma conica allungata, con buccia color ruggine pere kaiser']","['kai', 'ser']",Kàiser, /ˈkajzer/,"['sostantivo maschile', 'sostantivo maschile', 'sostantivo femminile']",['pera Kaiser'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kaiser100
kajal,"[""COSMETICA  --  cosmetico, blu o nero, a base di sostanze vegetali o animali, che si applica specialmente sul bordo interno della palpebra inferiore per ottenere l'effetto di uno sguardo particolarmente intenso; matita per occhi""]","['ka', 'jal']",kajal, /kaˈʤal/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kajal100
kakatua,['ORNITOLOGIA  --  variante grafica di cacatua'],"['ka', 'ka', 'tu', 'a']",kakatùa, /kakaˈtua/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kakatua100
kakemono,"['ARTE  --  dipinto giapponese eseguito su una striscia verticale di carta o di seta, da appendere alle pareti in particolari occasioni, che si conserva arrotolato intorno a un bastoncello fissato al lembo inferiore']","['ka', 'ke', 'mo', 'no']",kakemono, /kakeˈmɔno/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kakemono100
kaki,['variante grafica di cachi'],"['ka', 'ki']",kàki, /ˈkaki/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kaki100
kalashnikov,"['ARMI VOCE RUSSA  --   fucile mitragliatore, maneggevole e ad alto volume di fuoco, a canna corta, di fabbricazione sovietica, con caricatore curvo da 30 colpi']","['ka', 'la', 'shni', 'kov']",kalashnikov, /kaˈlaʃnikof/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kalashnikov100
kamikaze,"['STORIA  --  nella seconda guerra mondiale, aviatore volontario giapponese votato alla morte, che si sacrificava lanciandosi con il proprio aereo carico di esplosivo contro il nemico; anche, il velivolo da essi adoperato', ""PER ESTENSIONE  --  terrorista suicida, fanatico che sacrifica la propria e altrui vita per portare a termine un'azione; è stato l'attentato criminale di un kamikaze; anche in funzione appositiva un commando kamikaze"", 'FIGURATO  --  persona spericolata che agisce in modo temerario rischiando molto']","['ka', 'mi', 'ka', 'ze']",kamikaze," /kamiˈkaddze/, /kamiˈkaze/",['sostantivo maschile'],['da kamikaze'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kamikaze100
